WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
102351.0,102351,1,Cerro Las Vueltas,Cerro Las Vueltas,Reserva Biologica,Biological Reserve,National,Ia,Not Applicable,0,0.0,0.0,7.93272018432617,7.96686665307267,Not Applicable,0.0,Designated,1994,Federal or national ministry or agency,State,Not Reported,Not Reported,State Verified,811,CR-SJ,CRI,CRI,Not Applicable,Not Applicable
108151.0,108151,1,Terraba-Sierpe,Terraba-Sierpe,Humedal,Wetland,National,II,Not Applicable,0,267.7868,24.737135386993,267.786987304688,268.93921414058,Not Applicable,0.0,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
108139.0,108139,1,De San Vito,De San Vito,Humedal,Wetland,National,II,Not Applicable,0,0.0,0.0,0.437240988016129,0.439011294185702,Not Applicable,0.0,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
108159.0,108159,1,Lacustrino Laguna del Paraguas,Lacustrino Laguna del Paraguas,Humedal,Wetland,National,II,Not Applicable,0,0.0,0.0,0.495889991521835,0.497906930647877,Not Applicable,0.0,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
102327.0,102327,1,Humedal Laguna Madrigal,Humedal Laguna Madrigal,Humedal,Wetland,National,II,Not Applicable,0,0.0,0.0,0.466502994298935,0.468303114595185,Not Applicable,0.0,Proposed,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-G,CRI,CRI,Not Applicable,Not Applicable
301997.0,301997,1,Marino Playa Blanca,Marino Playa Blanca,Humedal,Wetland,National,II,Not Applicable,0,0.0659,0.000977795018693696,0.0659,0.103629426595756,Not Applicable,0.0,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
108155.0,108155,1,Nacional Cariari,Nacional Cariari,Humedal,Wetland,National,II,Not Applicable,1,6.8391,1.12797658744949,7.78761005401611,7.81958054942059,Not Reported,0.0,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-L,CRI,CRI,Not Applicable,Not Applicable
102357.0,102357,1,Limoncito,Limoncito,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,0,0.0,0.0,10.9800996780396,11.0247582022513,Not Applicable,0.0,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-L,CRI,CRI,Not Applicable,Not Applicable
108142.0,108142,1,Estero Puntarenas y Manglares Asociados,Estero Puntarenas y Manglares Asociados,Humedal,Wetland,National,II,Not Applicable,1,52.4116,12.2965618591089,52.4115982055664,52.6246180233223,Not Reported,0.0,Designated,2001,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
108154.0,108154,1,Monumento Nacional Guayabo,Monumento Nacional Guayabo,Monumento Nacional,National Monument,National,II,Not Applicable,0,0.0,0.0,2.29628992080688,2.30606227323741,Not Applicable,0.0,Designated,1973,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-C,CRI,CRI,Not Applicable,Not Applicable
102300.0,102300,1,Cabo Blanco,Cabo Blanco,Reserva Natural Absoluta,Absolute Natural Reserve,National,Ia,Not Applicable,1,13.5641,15.0016276634615,16.6762008666992,30.6622697788022,Not Reported,0.0,Designated,1963,Federal or national ministry or agency,State,Not Reported,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
61925.0,61925,1,Rio Banano,Rio Banano,Zona Protectora,Protected Zone,National,IV,Not Applicable,0,0.0,0.0,91.8702011108398,92.2461675183381,Not Applicable,0.0,Designated,1990,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-L,CRI,CRI,Not Applicable,Not Applicable
102371.0,102371,1,Rio Toro,Rio Toro,Zona Protectora,Protected Zone,National,IV,Not Applicable,0,0.0,0.0,43.9471015930176,44.1336046797377,Not Applicable,0.0,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-A,CRI,CRI,Not Applicable,Not Applicable
115176.0,115176,1,Peninsula de Nicoya,Peninsula de Nicoya,Zona Protectora,Protected Zone,National,IV,Not Applicable,0,0.0,0.0,217.143005371094,217.999616391896,Not Applicable,0.0,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
102311.0,102311,1,Nicolas Wessberg,Nicolas Wessberg,Reserva Natural Absoluta,Protected Zone,National,Ia,Not Applicable,0,0.5506,0.00592749395439694,0.59002298116684,0.5923680197657,Not Applicable,0.0,Designated,1994,Federal or national ministry or agency,State,Not Reported,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
36059.0,36059,1,Arenal,Arenal,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,119.447998046875,119.936488879592,Not Applicable,0.0,Designated,1991,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-A,CRI,CRI,Not Applicable,Not Applicable
165.0,165,1,Braulio Carrillo,Braulio Carrillo,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,499.213989257812,501.3460176607,Not Applicable,0.0,Designated,1978,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-H,CRI,CRI,Not Applicable,Not Applicable
19379.0,19379,1,Juan Castro Blanco,Juan Castro Blanco,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,142.880004882812,143.483959088438,Not Applicable,0.0,Designated,1992,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-A,CRI,CRI,Not Applicable,Not Applicable
555643530.0,555643530,1,Hacienda La Avellana,Hacienda La Avellana,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,0,0.0,0.0,5.00481986999512,5.02582570040751,Not Applicable,0.0,Designated,1988,Individual landowners,Individual landowners,Individual landowners,Not Reported,State Verified,811,CR-A,CRI,CRI,Not Applicable,Not Applicable
168122.0,168122,1,Volcan Turrialba,Volcan Turrialba,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,12.5635004043579,12.6170913334193,Not Applicable,0.0,Designated,1955,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-C,CRI,CRI,Not Applicable,Not Applicable
555643526.0,555643526,1,Cerro Redondo,Cerro Redondo,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,0,0.0,0.0,6.7976598739624,6.82695824195556,Not Applicable,0.0,Designated,1998,Individual landowners,Individual landowners,Individual landowners,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
169.0,169,1,Volcan Poas,Volcan Poas,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,65.5861968994141,65.8683200182437,Not Applicable,0.0,Designated,1970,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-A,CRI,CRI,Not Applicable,Not Applicable
2214.0,2214,1,Barra Honda,Barra Honda,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,22.963399887085,23.0489190058156,Not Applicable,0.0,Designated,1974,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-G,CRI,CRI,Not Applicable,Not Applicable
102310.0,102310,1,Marino las Baulas de Guanacaste,Marino las Baulas de Guanacaste,Parque Nacional,National Park,National,II,Not Applicable,2,245.285995483398,243.657884569464,245.285995483398,255.635045984015,Not Reported,0.0,Designated,1991,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-G,CRI,CRI,Not Applicable,Not Applicable
2235.0,2235,1,Cahuita,Cahuita,Parque Nacional,National Park,National,II,Not Applicable,2,10.7614,232.403674333204,233.179000854492,244.869422128329,Not Reported,0.0,Designated,1970,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-C,CRI,CRI,Not Applicable,Not Applicable
163.0,163,1,Chirripo,Chirripo,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,501.239990234375,503.57913895671,Not Applicable,0.0,Designated,1975,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-C,CRI,CRI,Not Applicable,Not Applicable
2553.0,2553,1,Internacional La Amistad,Internacional La Amistad,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,1982.93005371094,1991.12609394605,Not Applicable,0.0,Designated,1982,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-L,CRI,CRI,Not Applicable,Not Applicable
19372.0,19372,1,Barbilla,Barbilla,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,119.13500213623,119.63383650433,Not Applicable,0.0,Designated,1982,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-C,CRI,CRI,Not Applicable,Not Applicable
171.0,171,1,Volcan Irazu,Volcan Irazu,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,19.9731998443604,20.0586154248622,Not Applicable,0.0,Designated,1955,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-C,CRI,CRI,Not Applicable,Not Applicable
108150.0,108150,1,Los Quetzales,Los Quetzales,Parque Nacional,National Park,National,II,Not Applicable,0,0.0,0.0,41.0204010009766,41.1971046993555,Not Applicable,0.0,Designated,2006,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-SJ,CRI,CRI,Not Applicable,Not Applicable
36055.0,36055,1,Rio Pacuare,Rio Pacuare,Reserva Forestal,Biological Reserve,National,VI,Not Applicable,0,0.0,0.0,131.878005981445,132.431710210243,Not Applicable,0.0,Designated,1985,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-L,CRI,CRI,Not Applicable,Not Applicable
